kwdikos_exetashs,hmeromhnia,typos_exetashs,kostos,apotelesma,AMKA,ID_nosileias
EX-00448,2024-07-05 03:05:11,"ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΕΠΕΜΒΑΣΕΙΣ ΠΟΥ ΑΦΟΡΟΥΝ ΤΟ ΕΞΩ, ΤΟ ΜΕΣΟΝ ΚΑΙ ΤΟ ΕΣΩ ΟΥΣ, ΣΥΜΠΕΡΙΛΑΜΒΑΝΟΜΕΝΗΣ ΤΗΣ ΒΙΟΨΙΑΣ· ΩΤΟΣΚΟΠΗΣΗ",2213.35,Ήπια απόκλιση τιμών. Ενημερώθηκε ο θεράπων ιατρός.,18050675294,221
EX-00449,2024-07-08 21:05:11,ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΕΠΕΜΒΑΣΕΙΣ ΣΧΕΤΙΚΕΣ ΜΕ ΤΗΝ ΠΛΑΣΤΙΚΗ ΔΙΟΡΘΩΣΗ ΧΕΙΛΕΟΣΧΙΣΤΙΑΣ (ΛΥΚΟΣΤΟΜΑ),2027.48,Αναμένονται περαιτέρω αναλύσεις από το εργαστήριο.,18050675294,221
EX-00450,2024-07-07 18:34:25,ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΕΠΕΜΒΑΣΕΙΣ ΣΧΕΤΙΚΕΣ ΜΕ ΤΗΝ ΠΛΑΣΤΙΚΗ ΔΙΟΡΘΩΣΗ ΧΕΙΛΕΟΣΧΙΣΤΙΑΣ (ΛΥΚΟΣΤΟΜΑ),2027.48,Η διαδικασία ολοκληρώθηκε ομαλά. Φυσιολογικά ευρήματα.,18118519593,222
EX-00451,2024-07-10 08:41:57,ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΕΠΕΜΒΑΣΕΙΣ ΠΟΥ ΑΦΟΡΟΥΝ ΤΗ ΡΙΝΑ ΚΑΙ ΕΠΙΚΟΥΡΙΚΕΣ ΚΟΙΛΟΤΗΤΕΣ· ΡΙΖΙΚΗ ΕΠΕΜΒΑΣΗ,2369.80,Ολοκληρώθηκε χωρίς επιπλοκές.,09050064807,223
EX-00452,2024-07-10 00:41:57,ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΗΛΕΚΤΡΟΣΠΑΣΜΟΘΕΡΑΠΕΙΑ,1532.75,Δεν παρατηρήθηκαν παθολογικά ευρήματα κατά τον έλεγχο.,09050064807,223
EX-00453,2024-07-08 18:41:57,ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΕΝΔΟΚΡΑΝΙΑΚΕΣ ΕΠΕΜΒΑΣΕΙΣ· ΚΡΑΝΙΟΤΟΜΗ Ή ΚΡΑΝΙΕΚΤΟΜΗ ΓΙΑ ΤΗΝ ΠΑΡΟΧΕΤΕΥΣΗ ΑΙΜΑΤΩΜΑΤΟΣ,51.97,Αναμένονται περαιτέρω αναλύσεις από το εργαστήριο.,09050064807,223
EX-00454,2024-07-13 18:15:32,ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΕΝΔΟΚΡΑΝΙΑΚΕΣ ΕΠΕΜΒΑΣΕΙΣ· ΚΡΑΝΙΟΤΟΜΗ Ή ΚΡΑΝΙΕΚΤΟΜΗ ΓΙΑ ΤΗΝ ΠΑΡΟΧΕΤΕΥΣΗ ΑΙΜΑΤΩΜΑΤΟΣ,51.97,Ολοκληρώθηκε χωρίς επιπλοκές.,18118519593,224
EX-00455,2024-07-11 09:15:32,ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΕΠΕΜΒΑΣΕΙΣ ΠΟΥ ΑΦΟΡΟΥΝ ΤΟΝ ΟΦΘΑΛΜΟ· ΧΕΙΡΟΥΡΓΙΚΗ ΦΑΚΩΝ,1156.04,Αναμένονται περαιτέρω αναλύσεις από το εργαστήριο.,18118519593,224
EX-00456,2024-07-15 21:15:32,ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΕΠΕΜΒΑΣΕΙΣ ΠΟΥ ΑΦΟΡΟΥΝ ΤΟΝ ΟΦΘΑΛΜΟ· ΧΕΙΡΟΥΡΓΙΚΗ ΦΑΚΩΝ,1156.04,Η διαδικασία ολοκληρώθηκε ομαλά. Φυσιολογικά ευρήματα.,18118519593,224
EX-00457,2024-07-18 10:34:33,ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΕΝΔΟΚΡΑΝΙΑΚΕΣ ΕΠΕΜΒΑΣΕΙΣ· ΚΡΑΝΙΟΤΟΜΗ Ή ΚΡΑΝΙΕΚΤΟΜΗ ΓΙΑ ΤΗΝ ΠΑΡΟΧΕΤΕΥΣΗ ΑΙΜΑΤΩΜΑΤΟΣ,51.97,Ολοκληρώθηκε χωρίς επιπλοκές.,03057873936,225
EX-00458,2024-07-14 23:37:08,ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΕΝΔΟΚΡΑΝΙΑΚΕΣ ΕΠΕΜΒΑΣΕΙΣ· ΗΛΕΚΤΡΟΚΑΥΤΗΡΙΑΣΗ ΤΟΥ ΕΝΔΟΚΡΑΝΙΑΚΟΥ ΝΕΥΡΟΥ,2173.68,Ολοκληρώθηκε χωρίς επιπλοκές.,24100569128,226
EX-00459,2024-07-22 01:37:08,"ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΕΠΕΜΒΑΣΕΙΣ ΠΟΥ ΑΦΟΡΟΥΝ ΤΟ ΕΞΩ, ΤΟ ΜΕΣΟΝ ΚΑΙ ΤΟ ΕΣΩ ΟΥΣ, ΣΥΜΠΕΡΙΛΑΜΒΑΝΟΜΕΝΗΣ ΤΗΣ ΒΙΟΨΙΑΣ· ΩΤΟΣΚΟΠΗΣΗ",2213.35,Ήπια απόκλιση τιμών. Ενημερώθηκε ο θεράπων ιατρός.,24100569128,226
EX-00460,2024-07-22 16:37:08,ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΗΛΕΚΤΡΟΣΠΑΣΜΟΘΕΡΑΠΕΙΑ,1532.75,Η διαδικασία ολοκληρώθηκε ομαλά. Φυσιολογικά ευρήματα.,24100569128,226
EX-00461,2024-07-16 21:12:21,"ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΕΠΕΜΒΑΣΕΙΣ ΠΟΥ ΑΦΟΡΟΥΝ ΤΟ ΕΞΩ, ΤΟ ΜΕΣΟΝ ΚΑΙ ΤΟ ΕΣΩ ΟΥΣ, ΣΥΜΠΕΡΙΛΑΜΒΑΝΟΜΕΝΗΣ ΤΗΣ ΒΙΟΨΙΑΣ· ΤΟΜΗ ΤΥΜΠΑΝΙΚΟΥ ΥΜΕΝΑ",1283.52,Ολοκληρώθηκε χωρίς επιπλοκές.,03057873936,227
EX-00462,2024-07-19 10:19:43,ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΗΛΕΚΤΡΟΣΠΑΣΜΟΘΕΡΑΠΕΙΑ,1532.75,Ήπια απόκλιση τιμών. Ενημερώθηκε ο θεράπων ιατρός.,19110834569,228
EX-00463,2024-07-21 00:03:56,ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΕΠΕΜΒΑΣΕΙΣ ΕΠΑΝΟΡΘΩΤΙΚΗΣ ΧΕΙΡΟΥΡΓΙΚΗΣ ΒΛΕΦΑΡΩΝ (Π.Χ. ΒΛΕΦΑΡΟΠΛΑΣΤΙΚΗ ΕΓΧΕΙΡΗΣΗ ΒΛΕΦΑΡΟΠΤΩΣΗΣ),2236.35,Ολοκληρώθηκε χωρίς επιπλοκές.,16100868799,229
EX-00464,2024-07-21 07:13:47,ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΕΠΕΜΒΑΣΕΙΣ ΕΠΑΝΟΡΘΩΤΙΚΗΣ ΧΕΙΡΟΥΡΓΙΚΗΣ ΒΛΕΦΑΡΩΝ (Π.Χ. ΒΛΕΦΑΡΟΠΛΑΣΤΙΚΗ ΕΓΧΕΙΡΗΣΗ ΒΛΕΦΑΡΟΠΤΩΣΗΣ),2236.35,Η διαδικασία ολοκληρώθηκε ομαλά. Φυσιολογικά ευρήματα.,15049291643,230
EX-00465,2024-07-20 18:24:52,"ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΕΠΕΜΒΑΣΕΙΣ ΠΟΥ ΑΦΟΡΟΥΝ ΤΟ ΕΞΩ, ΤΟ ΜΕΣΟΝ ΚΑΙ ΤΟ ΕΣΩ ΟΥΣ, ΣΥΜΠΕΡΙΛΑΜΒΑΝΟΜΕΝΗΣ ΤΗΣ ΒΙΟΨΙΑΣ· ΩΤΟΣΚΟΠΗΣΗ",2213.35,Ολοκληρώθηκε χωρίς επιπλοκές.,05038348846,231
EX-00466,2024-07-23 19:26:03,"ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΕΠΕΜΒΑΣΕΙΣ ΠΟΥ ΑΦΟΡΟΥΝ ΤΟ ΕΞΩ, ΤΟ ΜΕΣΟΝ ΚΑΙ ΤΟ ΕΣΩ ΟΥΣ, ΣΥΜΠΕΡΙΛΑΜΒΑΝΟΜΕΝΗΣ ΤΗΣ ΒΙΟΨΙΑΣ· ΔΕΝ ΠΡΟΣΔΙΟΡΙΖΕΤΑΙ ΠΕΡΑΙΤΕΡΩ",795.29,Ήπια απόκλιση τιμών. Ενημερώθηκε ο θεράπων ιατρός.,10094598570,232
EX-00467,2024-08-01 10:24:36,"ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΕΠΕΜΒΑΣΕΙΣ ΠΟΥ ΑΦΟΡΟΥΝ ΤΟ ΕΞΩ, ΤΟ ΜΕΣΟΝ ΚΑΙ ΤΟ ΕΣΩ ΟΥΣ, ΣΥΜΠΕΡΙΛΑΜΒΑΝΟΜΕΝΗΣ ΤΗΣ ΒΙΟΨΙΑΣ· ΤΟΜΗ ΤΥΜΠΑΝΙΚΟΥ ΥΜΕΝΑ",1283.52,Η διαδικασία ολοκληρώθηκε ομαλά. Φυσιολογικά ευρήματα.,13119759342,233
EX-00468,2024-07-29 19:24:36,ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΕΠΕΜΒΑΣΕΙΣ ΕΠΑΝΟΡΘΩΤΙΚΗΣ ΧΕΙΡΟΥΡΓΙΚΗΣ ΒΛΕΦΑΡΩΝ (Π.Χ. ΒΛΕΦΑΡΟΠΛΑΣΤΙΚΗ ΕΓΧΕΙΡΗΣΗ ΒΛΕΦΑΡΟΠΤΩΣΗΣ),2236.35,Αναμένονται περαιτέρω αναλύσεις από το εργαστήριο.,13119759342,233
EX-00469,2024-08-05 14:20:07,ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΕΠΕΜΒΑΣΕΙΣ ΣΧΕΤΙΚΕΣ ΜΕ ΤΗΝ ΠΛΑΣΤΙΚΗ ΔΙΟΡΘΩΣΗ ΧΕΙΛΕΟΣΧΙΣΤΙΑΣ (ΛΥΚΟΣΤΟΜΑ),2027.48,Η διαδικασία ολοκληρώθηκε ομαλά. Φυσιολογικά ευρήματα.,18020449145,234
EX-00470,2024-08-08 12:20:07,ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΗΛΕΚΤΡΟΣΠΑΣΜΟΘΕΡΑΠΕΙΑ,1532.75,Ήπια απόκλιση τιμών. Ενημερώθηκε ο θεράπων ιατρός.,18020449145,234
EX-00471,2024-08-09 06:20:07,"ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΕΠΕΜΒΑΣΕΙΣ ΠΟΥ ΑΦΟΡΟΥΝ ΤΟΥΣ ΣΙΕΛΟΓΟΝΟΥΣ ΑΔΕΝΕΣ, ΣΥΜΠΕΡΙΛΑΜΒΑΝΟΜΕΝΗΣ ΤΗΣ ΒΙΟΨΙΑΣ",264.08,Δεν παρατηρήθηκαν παθολογικά ευρήματα κατά τον έλεγχο.,18020449145,234
EX-00472,2024-08-09 04:21:36,"ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΕΠΕΜΒΑΣΕΙΣ ΠΟΥ ΑΦΟΡΟΥΝ ΤΟ ΕΞΩ, ΤΟ ΜΕΣΟΝ ΚΑΙ ΤΟ ΕΣΩ ΟΥΣ, ΣΥΜΠΕΡΙΛΑΜΒΑΝΟΜΕΝΗΣ ΤΗΣ ΒΙΟΨΙΑΣ· ΤΟΜΗ ΤΥΜΠΑΝΙΚΟΥ ΥΜΕΝΑ",1283.52,Ολοκληρώθηκε χωρίς επιπλοκές.,18020449145,235
EX-00473,2024-08-07 17:21:36,ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΕΠΕΜΒΑΣΕΙΣ ΠΟΥ ΑΦΟΡΟΥΝ ΤΟΝ ΟΦΘΑΛΜΟ· ΧΕΙΡΟΥΡΓΙΚΗ ΦΑΚΩΝ,1156.04,Ολοκληρώθηκε χωρίς επιπλοκές.,18020449145,235
EX-00474,2024-08-10 16:21:36,ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΕΠΕΜΒΑΣΕΙΣ ΕΠΑΝΟΡΘΩΤΙΚΗΣ ΧΕΙΡΟΥΡΓΙΚΗΣ ΒΛΕΦΑΡΩΝ (Π.Χ. ΒΛΕΦΑΡΟΠΛΑΣΤΙΚΗ ΕΓΧΕΙΡΗΣΗ ΒΛΕΦΑΡΟΠΤΩΣΗΣ),2236.35,Ολοκληρώθηκε χωρίς επιπλοκές.,18020449145,235
EX-00475,2024-08-12 21:22:15,ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΕΠΕΜΒΑΣΕΙΣ ΕΠΑΝΟΡΘΩΤΙΚΗΣ ΧΕΙΡΟΥΡΓΙΚΗΣ ΒΛΕΦΑΡΩΝ (Π.Χ. ΒΛΕΦΑΡΟΠΛΑΣΤΙΚΗ ΕΓΧΕΙΡΗΣΗ ΒΛΕΦΑΡΟΠΤΩΣΗΣ),2236.35,Ολοκληρώθηκε χωρίς επιπλοκές.,16040493179,236
EX-00476,2024-08-10 00:26:11,ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΕΠΕΜΒΑΣΕΙΣ ΠΟΥ ΑΦΟΡΟΥΝ ΤΗ ΡΙΝΑ ΚΑΙ ΕΠΙΚΟΥΡΙΚΕΣ ΚΟΙΛΟΤΗΤΕΣ· ΡΙΖΙΚΗ ΕΠΕΜΒΑΣΗ,2369.80,Αναμένονται περαιτέρω αναλύσεις από το εργαστήριο.,26099895344,237
EX-00477,2024-08-10 12:26:11,"ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΕΠΕΜΒΑΣΕΙΣ ΠΟΥ ΑΦΟΡΟΥΝ ΤΟ ΕΞΩ, ΤΟ ΜΕΣΟΝ ΚΑΙ ΤΟ ΕΣΩ ΟΥΣ, ΣΥΜΠΕΡΙΛΑΜΒΑΝΟΜΕΝΗΣ ΤΗΣ ΒΙΟΨΙΑΣ· ΩΤΟΣΚΟΠΗΣΗ",2213.35,Η διαδικασία ολοκληρώθηκε ομαλά. Φυσιολογικά ευρήματα.,26099895344,237
EX-00478,2024-08-12 07:06:14,ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΕΝΔΟΚΡΑΝΙΑΚΕΣ ΕΠΕΜΒΑΣΕΙΣ· ΚΡΑΝΙΟΤΟΜΗ Ή ΚΡΑΝΙΕΚΤΟΜΗ ΓΙΑ ΤΗΝ ΠΑΡΟΧΕΤΕΥΣΗ ΑΙΜΑΤΩΜΑΤΟΣ,51.97,Ολοκληρώθηκε χωρίς επιπλοκές.,06126222477,238
EX-00479,2024-08-11 05:06:14,ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΗΛΕΚΤΡΟΣΠΑΣΜΟΘΕΡΑΠΕΙΑ,1532.75,Ήπια απόκλιση τιμών. Ενημερώθηκε ο θεράπων ιατρός.,06126222477,238
EX-00480,2024-08-15 05:56:45,ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΕΠΕΜΒΑΣΕΙΣ ΣΧΕΤΙΚΕΣ ΜΕ ΤΗΝ ΠΛΑΣΤΙΚΗ ΔΙΟΡΘΩΣΗ ΧΕΙΛΕΟΣΧΙΣΤΙΑΣ (ΛΥΚΟΣΤΟΜΑ),2027.48,Δεν παρατηρήθηκαν παθολογικά ευρήματα κατά τον έλεγχο.,18118519593,239
EX-00481,2024-08-20 20:56:45,"ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΕΠΕΜΒΑΣΕΙΣ ΠΟΥ ΑΦΟΡΟΥΝ ΤΟΥΣ ΣΙΕΛΟΓΟΝΟΥΣ ΑΔΕΝΕΣ, ΣΥΜΠΕΡΙΛΑΜΒΑΝΟΜΕΝΗΣ ΤΗΣ ΒΙΟΨΙΑΣ",264.08,Ήπια απόκλιση τιμών. Ενημερώθηκε ο θεράπων ιατρός.,18118519593,239
EX-00482,2024-08-19 07:56:45,ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΕΠΕΜΒΑΣΕΙΣ ΕΠΑΝΟΡΘΩΤΙΚΗΣ ΧΕΙΡΟΥΡΓΙΚΗΣ ΒΛΕΦΑΡΩΝ (Π.Χ. ΒΛΕΦΑΡΟΠΛΑΣΤΙΚΗ ΕΓΧΕΙΡΗΣΗ ΒΛΕΦΑΡΟΠΤΩΣΗΣ),2236.35,Αναμένονται περαιτέρω αναλύσεις από το εργαστήριο.,18118519593,239
EX-00483,2024-08-12 13:13:22,ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΕΠΕΜΒΑΣΕΙΣ ΕΠΑΝΟΡΘΩΤΙΚΗΣ ΧΕΙΡΟΥΡΓΙΚΗΣ ΒΛΕΦΑΡΩΝ (Π.Χ. ΒΛΕΦΑΡΟΠΛΑΣΤΙΚΗ ΕΓΧΕΙΡΗΣΗ ΒΛΕΦΑΡΟΠΤΩΣΗΣ),2236.35,Ολοκληρώθηκε χωρίς επιπλοκές.,19089017616,240
EX-00484,2024-08-12 18:13:22,ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΕΠΕΜΒΑΣΕΙΣ ΠΟΥ ΑΦΟΡΟΥΝ ΤΗ ΡΙΝΑ ΚΑΙ ΕΠΙΚΟΥΡΙΚΕΣ ΚΟΙΛΟΤΗΤΕΣ· ΡΙΖΙΚΗ ΕΠΕΜΒΑΣΗ,2369.80,Αναμένονται περαιτέρω αναλύσεις από το εργαστήριο.,19089017616,240
EX-00485,2024-08-12 02:13:22,ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΗΛΕΚΤΡΟΣΠΑΣΜΟΘΕΡΑΠΕΙΑ,1532.75,Ολοκληρώθηκε χωρίς επιπλοκές.,19089017616,240
EX-00486,2024-08-14 22:07:06,"ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΕΠΕΜΒΑΣΕΙΣ ΠΟΥ ΑΦΟΡΟΥΝ ΤΟΥΣ ΣΙΕΛΟΓΟΝΟΥΣ ΑΔΕΝΕΣ, ΣΥΜΠΕΡΙΛΑΜΒΑΝΟΜΕΝΗΣ ΤΗΣ ΒΙΟΨΙΑΣ",264.08,Αναμένονται περαιτέρω αναλύσεις από το εργαστήριο.,07034474162,241
EX-00487,2024-09-04 05:25:41,ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΕΝΔΟΚΡΑΝΙΑΚΕΣ ΕΠΕΜΒΑΣΕΙΣ· ΗΛΕΚΤΡΟΚΑΥΤΗΡΙΑΣΗ ΤΟΥ ΕΝΔΟΚΡΑΝΙΑΚΟΥ ΝΕΥΡΟΥ,2173.68,Ήπια απόκλιση τιμών. Ενημερώθηκε ο θεράπων ιατρός.,13119759342,242
EX-00488,2024-08-31 07:44:18,ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΕΝΔΟΚΡΑΝΙΑΚΕΣ ΕΠΕΜΒΑΣΕΙΣ· ΚΡΑΝΙΟΤΟΜΗ Ή ΚΡΑΝΙΕΚΤΟΜΗ ΓΙΑ ΤΗΝ ΠΑΡΟΧΕΤΕΥΣΗ ΑΙΜΑΤΩΜΑΤΟΣ,51.97,Ολοκληρώθηκε χωρίς επιπλοκές.,23056691943,243
EX-00489,2024-08-29 19:44:18,ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΕΠΕΜΒΑΣΕΙΣ ΣΧΕΤΙΚΕΣ ΜΕ ΤΗΝ ΠΛΑΣΤΙΚΗ ΔΙΟΡΘΩΣΗ ΧΕΙΛΕΟΣΧΙΣΤΙΑΣ (ΛΥΚΟΣΤΟΜΑ),2027.48,Αναμένονται περαιτέρω αναλύσεις από το εργαστήριο.,23056691943,243
EX-00490,2024-08-30 18:46:38,"ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΕΠΕΜΒΑΣΕΙΣ ΠΟΥ ΑΦΟΡΟΥΝ ΤΟ ΕΞΩ, ΤΟ ΜΕΣΟΝ ΚΑΙ ΤΟ ΕΣΩ ΟΥΣ, ΣΥΜΠΕΡΙΛΑΜΒΑΝΟΜΕΝΗΣ ΤΗΣ ΒΙΟΨΙΑΣ· ΩΤΟΣΚΟΠΗΣΗ",2213.35,Αναμένονται περαιτέρω αναλύσεις από το εργαστήριο.,01024610365,244
EX-00491,2024-09-04 18:46:38,ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΗΛΕΚΤΡΟΣΠΑΣΜΟΘΕΡΑΠΕΙΑ,1532.75,Ολοκληρώθηκε χωρίς επιπλοκές.,01024610365,244
EX-00492,2024-09-02 11:46:38,ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΕΠΕΜΒΑΣΕΙΣ ΠΟΥ ΑΦΟΡΟΥΝ ΤΟΝ ΟΦΘΑΛΜΟ· ΧΕΙΡΟΥΡΓΙΚΗ ΦΑΚΩΝ,1156.04,Ήπια απόκλιση τιμών. Ενημερώθηκε ο θεράπων ιατρός.,01024610365,244
EX-00493,2024-09-03 03:27:44,"ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΕΠΕΜΒΑΣΕΙΣ ΠΟΥ ΑΦΟΡΟΥΝ ΤΟ ΕΞΩ, ΤΟ ΜΕΣΟΝ ΚΑΙ ΤΟ ΕΣΩ ΟΥΣ, ΣΥΜΠΕΡΙΛΑΜΒΑΝΟΜΕΝΗΣ ΤΗΣ ΒΙΟΨΙΑΣ· ΩΤΟΣΚΟΠΗΣΗ",2213.35,Η διαδικασία ολοκληρώθηκε ομαλά. Φυσιολογικά ευρήματα.,06050738238,245
EX-00494,2024-09-06 01:27:44,ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΕΝΔΟΚΡΑΝΙΑΚΕΣ ΕΠΕΜΒΑΣΕΙΣ· ΚΡΑΝΙΟΤΟΜΗ Ή ΚΡΑΝΙΕΚΤΟΜΗ ΓΙΑ ΤΗΝ ΠΑΡΟΧΕΤΕΥΣΗ ΑΙΜΑΤΩΜΑΤΟΣ,51.97,Ήπια απόκλιση τιμών. Ενημερώθηκε ο θεράπων ιατρός.,06050738238,245
EX-00495,2024-09-06 20:39:45,ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΕΠΕΜΒΑΣΕΙΣ ΣΧΕΤΙΚΕΣ ΜΕ ΤΗΝ ΠΛΑΣΤΙΚΗ ΔΙΟΡΘΩΣΗ ΧΕΙΛΕΟΣΧΙΣΤΙΑΣ (ΛΥΚΟΣΤΟΜΑ),2027.48,Ήπια απόκλιση τιμών. Ενημερώθηκε ο θεράπων ιατρός.,19029051436,246
EX-00496,2024-09-05 12:39:45,ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΕΠΕΜΒΑΣΕΙΣ ΠΟΥ ΑΦΟΡΟΥΝ ΤΟΝ ΟΦΘΑΛΜΟ· ΧΕΙΡΟΥΡΓΙΚΗ ΦΑΚΩΝ,1156.04,Η διαδικασία ολοκληρώθηκε ομαλά. Φυσιολογικά ευρήματα.,19029051436,246
EX-00497,2024-09-05 14:51:27,"ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΕΠΕΜΒΑΣΕΙΣ ΠΟΥ ΑΦΟΡΟΥΝ ΤΟ ΕΞΩ, ΤΟ ΜΕΣΟΝ ΚΑΙ ΤΟ ΕΣΩ ΟΥΣ, ΣΥΜΠΕΡΙΛΑΜΒΑΝΟΜΕΝΗΣ ΤΗΣ ΒΙΟΨΙΑΣ· ΩΤΟΣΚΟΠΗΣΗ",2213.35,Δεν παρατηρήθηκαν παθολογικά ευρήματα κατά τον έλεγχο.,21119438801,247
EX-00498,2024-09-11 10:02:15,ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΗΛΕΚΤΡΟΣΠΑΣΜΟΘΕΡΑΠΕΙΑ,1532.75,Δεν παρατηρήθηκαν παθολογικά ευρήματα κατά τον έλεγχο.,24024429583,248
EX-00499,2024-09-10 22:02:15,"ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΕΠΕΜΒΑΣΕΙΣ ΠΟΥ ΑΦΟΡΟΥΝ ΤΟ ΕΞΩ, ΤΟ ΜΕΣΟΝ ΚΑΙ ΤΟ ΕΣΩ ΟΥΣ, ΣΥΜΠΕΡΙΛΑΜΒΑΝΟΜΕΝΗΣ ΤΗΣ ΒΙΟΨΙΑΣ· ΤΟΜΗ ΤΥΜΠΑΝΙΚΟΥ ΥΜΕΝΑ",1283.52,Η διαδικασία ολοκληρώθηκε ομαλά. Φυσιολογικά ευρήματα.,24024429583,248
EX-00500,2024-09-10 01:02:15,"ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΕΠΕΜΒΑΣΕΙΣ ΠΟΥ ΑΦΟΡΟΥΝ ΤΟ ΕΞΩ, ΤΟ ΜΕΣΟΝ ΚΑΙ ΤΟ ΕΣΩ ΟΥΣ, ΣΥΜΠΕΡΙΛΑΜΒΑΝΟΜΕΝΗΣ ΤΗΣ ΒΙΟΨΙΑΣ· ΩΤΟΣΚΟΠΗΣΗ",2213.35,Αναμένονται περαιτέρω αναλύσεις από το εργαστήριο.,24024429583,248
EX-00501,2024-09-18 07:59:05,ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΕΝΔΟΚΡΑΝΙΑΚΕΣ ΕΠΕΜΒΑΣΕΙΣ· ΚΡΑΝΙΟΤΟΜΗ Ή ΚΡΑΝΙΕΚΤΟΜΗ ΓΙΑ ΤΗΝ ΠΑΡΟΧΕΤΕΥΣΗ ΑΙΜΑΤΩΜΑΤΟΣ,51.97,Αναμένονται περαιτέρω αναλύσεις από το εργαστήριο.,29049732701,249
EX-00502,2024-09-18 23:36:25,"ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΕΠΕΜΒΑΣΕΙΣ ΠΟΥ ΑΦΟΡΟΥΝ ΤΟ ΕΞΩ, ΤΟ ΜΕΣΟΝ ΚΑΙ ΤΟ ΕΣΩ ΟΥΣ, ΣΥΜΠΕΡΙΛΑΜΒΑΝΟΜΕΝΗΣ ΤΗΣ ΒΙΟΨΙΑΣ· ΩΤΟΣΚΟΠΗΣΗ",2213.35,Η διαδικασία ολοκληρώθηκε ομαλά. Φυσιολογικά ευρήματα.,18060326718,250
EX-00503,2024-09-25 12:30:56,ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΗΛΕΚΤΡΟΣΠΑΣΜΟΘΕΡΑΠΕΙΑ,1532.75,Ολοκληρώθηκε χωρίς επιπλοκές.,19075521849,251
EX-00504,2024-09-26 13:20:45,ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΗΛΕΚΤΡΟΣΠΑΣΜΟΘΕΡΑΠΕΙΑ,1532.75,Αναμένονται περαιτέρω αναλύσεις από το εργαστήριο.,22018235970,252
